Temperature -      + Field,Resistivity  (Ohms x cm) -      + Field,Temperature - Zero Field,Resistivity  (Ohms x cm) - Zero Field,Temperature -       - Field,Resistivity  (Ohms x cm) -       - Field
96,1.20E+02,97.3,8.40E+02,98.7,1.30E+03
100.2,1.40E+03,101.5,9.20E+02,102.9,1.40E+03
104.4,1.50E+03,105.7,9.90E+02,107.1,1.50E+03
108.7,1.60E+03,109.9,1.10E+03,111.2,1.60E+03
112.9,1.70E+03,114.3,1.20E+03,115.6,1.70E+03
117.2,1.80E+03,118.7,1.30E+03,120,1.80E+03
121.6,1.90E+03,123.1,1.40E+03,124.5,1.90E+03
126.1,2.10E+03,127.3,1.50E+03,128.6,2.10E+03
130.2,2.20E+03,131.5,1.60E+03,132.9,2.20E+03
134.5,2.30E+03,135.8,1.70E+03,137.1,2.30E+03
138.8,2.50E+03,140.1,1.80E+03,141.3,2.50E+03
143,2.60E+03,144.4,2.00E+03,145.8,2.60E+03
147.3,2.80E+03,148.6,2.10E+03,150.1,2.80E+03
151.7,2.90E+03,153,2.20E+03,154.3,2.90E+03
155.9,3.10E+03,157.3,2.40E+03,158.6,3.10E+03
160.3,3.20E+03,161.8,2.50E+03,163.1,3.30E+03
164.8,3.40E+03,166.2,2.70E+03,167.5,3.40E+03
169.1,3.60E+03,170.6,2.90E+03,171.9,3.60E+03
173.6,3.80E+03,174.9,3.00E+03,176.2,3.80E+03
177.9,4.00E+03,179.2,3.20E+03,180.6,4.00E+03
182.3,4.20E+03,183.6,3.40E+03,185,4.20E+03
186.6,4.40E+03,188,3.60E+03,189.4,4.40E+03
191,4.60E+03,192.3,3.80E+03,193.6,4.60E+03
195.3,4.80E+03,196.6,4.00E+03,197.9,4.80E+03
199.7,5.00E+03,201.1,4.20E+03,202.7,5.00E+03
204.4,5.20E+03,206,4.50E+03,207.5,5.30E+03
209.2,5.50E+03,210.8,4.70E+03,212.2,5.50E+03
214.1,5.70E+03,215.6,5.00E+03,217.1,5.80E+03
218.9,6.00E+03,220.4,5.20E+03,221.9,6.10E+03
223.8,6.30E+03,225.2,5.50E+03,226.8,6.30E+03
228.5,6.50E+03,230.1,5.70E+03,231.6,6.60E+03
233.4,6.80E+03,234.9,6.00E+03,236.4,6.80E+03
238.1,7.00E+03,239.7,6.20E+03,241.2,7.00E+03
243,7.10E+03,244.5,6.20E+03,246,7.00E+03
247.8,7.00E+03,249.4,6.10E+03,250.9,6.80E+03
252.6,6.60E+03,254.1,5.70E+03,255.6,6.20E+03
257.4,5.90E+03,258.9,5.10E+03,260.4,5.30E+03
262.2,4.90E+03,263.8,4.20E+03,265.2,4.30E+03
267.1,3.90E+03,268.6,3.20E+03,270.1,3.30E+03
271.9,2.90E+03,273.4,2.50E+03,275,2.50E+03
276.8,2.20E+03,278.4,1.90E+03,279.8,1.80E+03
281.7,1.70E+03,283.2,1.40E+03,284.7,1.40E+03
286.5,1.30E+03,288,1.10E+03,289.5,1.10E+03
291.3,9.60E+02,292.8,8.30E+02,294.3,8.20E+02
296,7.40E+02,297.3,6.60E+02,298.6,6.50E+02
300.3,5.90E+02,301.8,5.20E+02,303.2,5.20E+02
304.9,4.70E+02,306.3,4.20E+02,307.7,4.10E+02
309.4,3.80E+02,310.9,3.40E+02,312.3,3.30E+02
314.1,3.00E+02,315.6,2.70E+02,317,2.70E+02
318.8,2.50E+02,320.3,2.20E+02,321.8,2.20E+02
323.6,2.00E+02,325,1.80E+02,326.6,1.80E+02
328.4,1.60E+02,329.9,1.50E+02,331.4,1.40E+02
333.2,1.30E+02,334.8,1.20E+02,336.4,1.20E+02
338.1,1.10E+02,339.7,9.90E+01,341.2,9.70E+01
343.1,9.00E+01,344.6,8.20E+01,346.1,8.00E+01
347.9,7.50E+01,349.4,6.80E+01,351,6.70E+01
