Temperature (K),B-Field (Gauss),sample I AB,sample I AD,sample I AC,sample I BD,sample I -AB,sample I -AD,sample I -AC,sample I -BD,Voltage DC,Voltage BC,Voltage BD,Voltage AC,Voltage -DC,Voltage -BC,Voltage -BD,Voltage -AC
303.15,-4581,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.000272,0.0003479,-0.000311,-0.0004763,-0.000782,-0.0008736,-0.0001868,-0.0000053
304.75,-30.2199993,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0002007,0.000275,-0.0001643,-0.0003135,-0.0007288,-0.0008028,-0.0003155,-0.0001607
306.25,4568,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0001829,0.000264,-0.0000305,-0.0001729,-0.0007244,-0.0007922,-0.0004346,-0.0002856
308.1,-4581,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0001514,0.0002075,-0.0003019,-0.0004202,-0.0006753,-0.0007515,-0.0001958,-0.0000497
309.55,-30.1700001,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0000958,0.0001487,-0.0001829,-0.000287,-0.0006344,-0.0006973,-0.0002997,-0.0001741
311.15,4568,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0000838,0.0001463,-0.0000744,-0.0001798,-0.0006333,-0.000689,-0.0003948,-0.0002672
312.95,-4581,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0000666,0.0001038,-0.0002937,-0.0003729,-0.0005955,-0.0006535,-0.0002042,-0.0000771
314.45,-29.9200001,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0000269,0.0000678,-0.0001941,-0.0002715,-0.0005635,-0.0006133,-0.0002893,-0.0001779
316,4568,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0000136,0.0000585,-0.0001057,-0.0001808,-0.0005636,-0.0006052,-0.0003622,-0.0002476
317.75,-4582,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.0000022,0.000022,-0.0002846,-0.0003427,-0.000534,-0.0005869,-0.0002168,-0.0001055
319.25,-30.0699997,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.0000321,-0.0000009,-0.000205,-0.0002594,-0.0005071,-0.0005531,-0.0002822,-0.000185
320.75,4568,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000049,-0.0000124,-0.000134,-0.0001828,-0.0005123,-0.0005497,-0.000339,-0.0002417
322.55,-4580,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.0000535,-0.0000384,-0.0002792,-0.000315,-0.0004815,-0.000532,-0.000226,-0.0001218
324.1,-30.1499996,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.0000795,-0.0000565,-0.0002157,-0.0002494,-0.000465,-0.0005046,-0.0002728,-0.0001834
325.6,4568,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000091,-0.0000627,-0.0001535,-0.0001856,-0.0004678,-0.0004997,-0.0003208,-0.0002327
