Temperature (K),B-Field (Gauss),sample I AB,sample I AD,sample I AC,sample I BD,sample I -AB,sample I -AD,sample I -AC,sample I -BD,Voltage DC,Voltage BC,Voltage BD,Voltage AC,Voltage -DC,Voltage -BC,Voltage -BD,Voltage -AC
96.395,-4569,0,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0,0.0062048,0.019791,0.0181509,-0.0050533,-0.0069428,-0.0211277,-0.0188962
98.04,-30.5100002,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0034785,0.0037838,0.0001552,-0.0008348,-0.0035303,-0.0044371,-0.0013322,0.0000667
99.275,4554,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0054183,0.0055878,-0.0190028,-0.0208444,-0.0054126,-0.0062087,0.0178188,0.0200233
100.91,-4570,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0054207,0.0066426,0.0199641,0.0181697,-0.0054201,-0.0073871,-0.0212787,-0.0189016
102.19,-28.9300003,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0037654,0.0041289,0.0002137,-0.0008935,-0.0038254,-0.0047934,-0.0013794,0.0001437
103.53,4556,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0058047,0.0060493,-0.019009,-0.0210098,-0.0058211,-0.0066808,0.0178388,0.0202046
105.08,-4571,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0058014,0.0071225,0.0201519,0.0181893,-0.0058216,-0.0078718,-0.0214506,-0.0189098
106.38,-30.2700005,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0040779,0.0045133,0.0002919,-0.0009481,-0.0041476,-0.005178,-0.0014534,0.0002034
107.625,4556,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0062009,0.0065213,-0.0190148,-0.0211753,-0.0062268,-0.0071583,0.0178553,0.0203791
109.265,-4572,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0062179,0.0076185,0.0203088,0.0182018,-0.0062433,-0.0083645,-0.0215896,-0.0189196
110.705,-30.1900005,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0044204,0.0049125,0.0003497,-0.000995,-0.004501,-0.0055916,-0.0015077,0.0002533
111.96,4557,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0066407,0.0070241,-0.0190285,-0.0213235,-0.0066813,-0.0076817,0.0178575,0.0205378
113.5,-4573,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0066472,0.0081399,0.0204762,0.0182055,-0.0066983,-0.0088983,-0.0217507,-0.0189247
114.755,-30.3099995,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.004769,0.0053206,0.0004128,-0.0010588,-0.0048561,-0.0060061,-0.001574,0.0003171
116.1,4559,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0070768,0.0075414,-0.0190292,-0.021492,-0.0071341,-0.0082101,0.0178661,0.0207087
117.8,-4574,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0071154,0.0087051,0.0206568,0.0182033,-0.0071709,-0.0094605,-0.0219228,-0.018919
119.045,-30.2199993,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0051562,0.005773,0.0004823,-0.0011269,-0.0052485,-0.0064682,-0.0016393,0.0003856
120.34,4559,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0075515,0.0081043,-0.0190199,-0.0216591,-0.0076177,-0.0087777,0.0178594,0.0208872
122.015,-4576,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0075856,0.0092719,0.0208294,0.0181931,-0.0076609,-0.0100392,-0.022095,-0.0189176
123.275,-30.2800007,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0055537,0.006248,0.0005556,-0.0012009,-0.0056606,-0.0069583,-0.0017235,0.0004559
124.53,4560,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0080378,0.0086762,-0.0190153,-0.0218399,-0.0081163,-0.0093678,0.0178445,0.0210608
126.11,-4576,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0080668,0.0098584,0.0210102,0.0181822,-0.0081512,-0.0106254,-0.0222618,-0.0189051
127.48,-30.1399994,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0059751,0.0067506,0.0006377,-0.0012821,-0.0060908,-0.0074649,-0.0018023,0.0005327
128.76,4561,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.00854,0.0092777,-0.0189978,-0.0220215,-0.0086412,-0.0099802,0.0178315,0.0212458
130.3,-4578,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0085787,0.0104767,0.0211935,0.0181651,-0.0086783,-0.0112479,-0.0224424,-0.0188885
131.58,-30.1599998,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.006404,0.0072655,0.0007256,-0.0013618,-0.0065337,-0.0079866,-0.0018858,0.0006181
132.88,4562,0.00002,0.00002,0.00002,0.00002,-0.00002,-0.00002,-0.00002,-0.00002,0.0090576,0.0098929,-0.0189725,-0.0221942,-0.0091628,-0.0105983,0.0178173,0.0214324
