Temperature (K),B-Field (Gauss),sample I AB,sample I AD,sample I AC,sample I BD,sample I -AB,sample I -AD,sample I -AC,sample I -BD,Voltage DC,Voltage BC,Voltage BD,Voltage AC,Voltage -DC,Voltage -BC,Voltage -BD,Voltage -AC
96.06,-4605,0.00001,0.00001,0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00001,0.0025407,0.0029092,0.0097019,0.0090346,-0.0024111,-0.0035388,-0.0108893,-0.0096526
97.355,-30.2900009,0.00001,0.00001,0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00001,0.0017428,0.0017343,-0.0001528,-0.000542,-0.0016796,-0.0022819,-0.0008807,-0.0000957
98.555,4592,0.00001,0.00001,0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00001,0.0027211,0.0026385,-0.0098124,-0.0106481,-0.0026018,-0.0031489,0.0087664,0.0099374
100.205,-4604,0.00001,0.00001,0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00001,0.0027086,0.0031372,0.0097996,0.0090428,-0.0026042,-0.0037671,-0.0109672,-0.0096585
101.52,-30.0799999,0.00001,0.00001,0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00001,0.001877,0.0019057,-0.0001207,-0.0005648,-0.0018349,-0.0024577,-0.0009033,-0.00007
102.83,4591,0.00001,0.00001,0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00001,0.0029035,0.0028653,-0.0098066,-0.0107064,-0.0028108,-0.0033788,0.0087767,0.0100199
104.38,-4603,0.00001,0.00001,0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00001,0.0028941,0.0033764,0.0098891,0.009054,-0.0028079,-0.0039958,-0.0110266,-0.0096527
105.65,-30.0100002,0.00001,0.00001,0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00001,0.0020262,0.0020879,-0.0000884,-0.000587,-0.0019943,-0.0026419,-0.0009316,-0.0000339
107.01,4589,0.00001,0.00001,0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00001,0.0030976,0.0031028,-0.0098005,-0.0107764,-0.0030195,-0.0036165,0.0087849,0.0101066
108.615,-4602,0.00001,0.00001,0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00001,0.0030974,0.003627,0.0099727,0.0090606,-0.0030224,-0.0042412,-0.0110941,-0.0096459
110.045,-30.0400009,0.00001,0.00001,0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00001,0.0021972,0.0022934,-0.0000493,-0.0006122,-0.0021725,-0.0028452,-0.0009559,-0.0000022
