Temperature -      + Field,Resistivity  (Ohms x cm) -      + Field,Temperature - Zero Field,Resistivity  (Ohms x cm) - Zero Field,Temperature -       - Field,Resistivity  (Ohms x cm) -       - Field
96.1,1.30E+03,97.4,8.40E+02,98.6,1.30E+03
100.2,1.40E+03,101.5,9.10E+02,102.8,1.40E+03
104.4,1.50E+03,105.7,9.90E+02,107,1.50E+03
108.6,1.60E+03,110,1.10E+03,111.3,1.60E+03
112.8,1.70E+03,114.2,1.20E+03,115.4,1.70E+03
117,1.80E+03,118.4,1.30E+03,119.7,1.80E+03
121.3,1.90E+03,122.6,1.40E+03,123.8,1.90E+03
125.4,2.00E+03,126.8,1.50E+03,128.1,2.00E+03
129.7,2.20E+03,131.1,1.60E+03,132.4,2.20E+03
134,2.30E+03,135.2,1.70E+03,136.5,2.30E+03
138.2,2.40E+03,139.7,1.80E+03,141.1,2.50E+03
142.6,2.60E+03,143.9,1.90E+03,145.4,2.60E+03
146.9,2.70E+03,148.2,2.10E+03,149.6,2.80E+03
151.2,2.90E+03,152.6,2.20E+03,153.9,2.90E+03
155.6,3.10E+03,156.9,2.40E+03,158.2,3.10E+03
160,3.20E+03,161.3,2.50E+03,162.7,3.20E+03
164.2,3.40E+03,165.6,2.70E+03,167,3.40E+03
168.6,3.60E+03,170,2.80E+03,171.4,3.60E+03
172.9,3.70E+03,174.2,3.00E+03,175.6,3.80E+03
177.2,3.90E+03,178.6,3.20E+03,179.9,4.00E+03
181.5,4.10E+03,182.9,3.40E+03,184.3,4.20E+03
185.9,4.30E+03,187.3,3.60E+03,188.6,4.40E+03
190.2,4.50E+03,191.6,3.80E+03,192.9,4.60E+03
194.6,4.70E+03,196,4.00E+03,197.3,4.80E+03
199.1,5.00E+03,200.7,4.20E+03,202.2,5.00E+03
204.1,5.20E+03,205.6,4.40E+03,207.1,5.30E+03
208.9,5.50E+03,210.4,4.70E+03,211.9,5.50E+03
213.8,5.70E+03,215.1,4.90E+03,216.7,5.80E+03
218.6,6.00E+03,220.1,5.20E+03,221.6,6.00E+03
223.4,6.20E+03,224.9,5.40E+03,226.4,6.20E+03
228.1,6.40E+03,229.7,5.70E+03,231.1,6.50E+03
232.9,6.70E+03,234.4,5.90E+03,235.8,6.70E+03
237.4,6.80E+03,238.7,6.00E+03,240.1,6.80E+03
241.9,6.90E+03,243.3,6.10E+03,244.8,6.80E+03
246.6,6.90E+03,248.1,6.10E+03,249.6,6.70E+03
251.4,6.60E+03,252.9,5.70E+03,254.4,6.20E+03
256.1,6.00E+03,257.7,5.10E+03,259.1,5.40E+03
260.9,5.10E+03,262.4,4.30E+03,263.9,4.50E+03
265.6,4.10E+03,267.1,3.40E+03,268.6,3.50E+03
270.5,3.10E+03,272.1,2.60E+03,273.6,2.60E+03
275.4,2.40E+03,277,2.00E+03,278.6,2.00E+03
280.3,1.80E+03,281.9,1.50E+03,283.4,1.50E+03
285.1,1.30E+03,286.6,1.20E+03,288.2,1.10E+03
289.9,1.00E+03,291.4,8.90E+02,292.9,8.70E+02
294.8,7.90E+02,296.3,6.90E+02,297.8,6.80E+02
299.6,6.10E+02,301.1,5.40E+02,302.6,5.30E+02
304.4,4.80E+02,306,4.30E+02,307.5,4.20E+02
309.4,3.80E+02,310.9,3.40E+02,312.4,3.30E+02
314.4,3.00E+02,315.9,2.70E+02,317.4,2.60E+02
319.4,2.40E+02,321,2.10E+02,322.4,2.10E+02
324.3,1.90E+02,325.9,1.70E+02,327.4,1.70E+02
329.2,1.60E+02,330.6,1.40E+02,332.2,1.40E+02
334.1,1.30E+02,335.6,1.20E+02,337.1,1.10E+02
338.9,1.10E+02,340.4,9.60E+01,341.9,9.50E+01
343.8,8.80E+01,345.2,8.00E+01,346.8,7.90E+01
348.6,7.30E+01,350.1,6.80E+01,351.6,6.60E+01
